Strain,Dominance,Special,Brand,Product,Also Known As,,Variant,Parent1,Parent1%,Parent2,Parent2%,Parent3,Parent3%,Parent4,Parent4%,Parent5,Parent5%,Parent6,Parent6%,,notes,Breeder,Origin,Treated,Cannabinoids,Terpenes,General comments
Grape,,,,,,,,Granddaddy Purple,,OG Chem,,,,,,,,,,,,,,,,,
Grape Ape,,,,,,,,Mendocino Purps,,Afghan/Pakistan Indica Landraces,,Skunk #1,,,,,,,,,,,,,,,
Grape Dosidos,,,,,,,,Do-Si-Dos,,Grape Pie,,,,,,,,,,,,,,,,,
Grape Gasoline,,,,,,,,Grape Pie,,Jet Fuel Gelato,,,,,,,,,,,,,,,,,
Grape Pie,,,,,,,,Cherry Pie,,Grape Stomper,,,,,,,,,,,,,,,,,
Grape Stomper,,,,,Sour Grapes,,,Sour Chem,,Purple Elephant,,,,,,,,,,,,,,,,,
Grapefruit,,,,,,,,Cinderella 99 ,,Thai Sativa Landraces,,,,,,,,,,,,,,,,,
Grapefruit Tangie,,,,,,,,Tangie,,Grapefruit,,,,,,,,,,,,,,,,,
Green Crack,,,,,,,Skunk #1,,,,,,,,,,,,,,,,,,,,
Green Gelato,,NZ Medical,Kikuya,Kikuya Dune,,,,Thin Mint Girl Scout Cookies,,Sherbert,,,,,,,,,,,,,Australia,,"THC 19%, CBD <1%",,
Green Haze,,,,,,,Haze,,,,,,,,,,,,,,,,,,,,
Green Love Potion,,,,,,,,Black Domina,,Lavender,,,,,,,,,,,,,,,,,
Green Poison,,,,,,,,Skunk #1,,Early Skunk,,,,,,,,,,,,,,,,,
Hash Plant,,,,,,,,Original Hash Plant,75.00%,Northern Lights #1,25.00%,,,,,,,,,,,,,,,,
Hawaiian Sativa Landraces,Sativa dominant,Landrace,,,,,,Introduced Naturalised Sativa,,,,,,,,,,,,,,,,,,,
Haze,,,,,,,,Haze Brothers Original Haze,,,,,,,,,,,,,,,,,,,
Haze Brothers Original Haze,Sativa dominant,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,
Headband,,,,,,,,OG Kush,,Sour Diesel,,,,,,,,,,,,,,,,,
Headstash,,,,,,,,Cherry Pie,12.50%,Karmarado OG,25.00%,Girl Scout Cookies,12.50%,Biker Kush,50.00%,,,,,,,,,,,,
Hell's Angels OG,,,,,,,,OG Kush,,Blackberry,,,,,,,,,,,,,,,,,
Herojuana ,,,,,,,,Petrolia Headstash ,,Killer New Haven,,,,,,,,,,,,,,,,,
Hi-Octane,,,,,High Octane,,,Octane ,,Sherbert,,,,,,,,,,,,,,,,,
High Country Diesel,,,,,,,,Original Diesel,,East Coast Sour Diesel,,,,,,,,,,,,,,,,,
Hindu Kush,,,,,,,Hindu Kush Landraces,,,,,,,,,,,,,,,,,,,,
Hindu Kush Landraces,Indica dominant,Landrace,,,,,,Original Central Asian Indica,,,,,,,,,,,,,,,,,,,
Hmong Thai,,,,,,,Thai Sativa Landraces,,,,,,,,,,,,,,,,,,,,
Holy Banana,,,,,,,,Banana,,Big Sur Holy Weed,,,,,,,,,,,,,,,,,
Honey Boo Boo,,,,,,,,Bubba Kush,,Captain Krypt OG,,,,,,,,,,,,,,,,,
Honeydew,,,,,,,,Appalachia ,,Super Silver Haze,,,,,,,,,,,,,,,,,
Horchata,,,,,,,,Mochi ,,Jet Fuel Gelato,,,,,,,,,,,,,,,,,
Hubbabubbasmelloscope ,,,,,Hubba Bubba Smelloscope,,,Bubblegum,,Unknown Indica Strain 5,,,,,,,,,,,,,,,,,
Huckleberry,,NZ Medical,Adven,Adven Daybreak,Ackleberry,,,Honey Boo Boo,,Tangie,,,,,,,,,,,,,,,,,
I-95,,,,,,,,Triangle Kush,50.00%,Legend OG,25.00%,Stardawg ,25.00%,,,,,,,,,,,,,,
Ice,,,,,,,,Skunk #1,,Afghan/Pakistan Indica Landraces,,Northern Lights,,Shiva,,,,,,,,,,,,,
Ice #2,,,,,,,Ice,,,,,,,,,,,,,,,,,,,,
Ice Cream Cake,,,,,,,,Wedding Cake,,Gelato 33,,,,,,,,,,,,,,,,,
India Indica Landraces,Indica dominant,Landrace,,,,,,Original Central Asian Indica,,,,,,,,,,,,,,,,,,,
Indiana Bubble Gum,,,,,Indiana Bubblegum,,,Afghan/Pakistan Indica Landraces,,Mexico Sativa Landraces,,Colombian Sativa Landraces,,Unknown Sativa Strain 3,,,,,,,,,,,,,
Indonesia Sativa Landraces,Sativa dominant,Landrace,,,,,,Original South Asian Sativa,,,,,,,,,,,,,,,,,,,
Introduced Naturalised Indica,Indica dominant,Origin,,,,,,,,,,,,,,,,,,,,,,,,,
Introduced Naturalised Ruderalis,Ruderalis dominant,Origin,,,,,,,,,,,,,,,,,,,,,,,,,
Introduced Naturalised Sativa,Sativa dominant,Origin,,,,,,,,,,,,,,,,,,,,,,,,,
